Area,Year,Average value of food production (constant 2004-2006 I$/cap) (3-year average),Cereal import dependency ratio (percent) (3-year average),Incidence of caloric losses at retail distribution level (percent),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percent of arable land equipped for irrigation (percent) (3-year average),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),water access,Percentage of population using at least basic sanitation services (percent),irrigation,Political stability and absence of violence/terrorism (index),Prevalence of anemia among women of reproductive age (15-49 years),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Value of food imports in total merchandise exports (percent) (3-year average),"Consumer Prices, General Indices (2015 = 100)",Food Insecurity Rate
Brunei Darussalam,2000,84.9,96.55600000000004,3.13,8.316548015873018,51.0,47.821333333333335,6.2,99.0,97.63499999999996,95.84099999999998,1.3,17.1,44.1,4.14,95.14298200000002,2.839
Brunei Darussalam,2001,81.0,100.0,3.29,7.5,63.0,50.0,6.4,99.0,96.29899999999998,96.015,1.2595533333333324,16.6,50.0,5.0,95.70993016666664,2.0060000000000016
Brunei Darussalam,2002,85.0,99.6,3.16,6.9,31.0,50.0,6.6,99.0,97.614,95.844,1.16,16.3,48.0,4.0,93.49427166666663,2.086000000000001
Brunei Darussalam,2003,86.0,95.7,3.17,6.7,40.0,50.0,6.8,99.0,97.09599999999996,95.845,1.15,16.0,47.0,4.0,93.74358966666668,2.714000000000001
Brunei Darussalam,2004,76.0,93.8,3.22,4.2,59.0,50.0,7.0,99.0,97.09599999999996,96.03300000000002,1.37,15.7,46.0,4.0,94.53049983333337,2.7300000000000004
Brunei Darussalam,2005,79.0,98.1,3.18,6.4,65.0,50.0,7.1,99.0,97.11699999999996,96.041,1.21,15.5,47.0,3.0,95.71874583333334,2.6990000000000007
Brunei Darussalam,2006,84.0,91.1,3.04,18.3,39.0,42.9,7.3,99.0,97.03299999999996,95.45699999999997,1.12,15.5,47.0,3.0,95.8654059166667,4.838999999999992
Brunei Darussalam,2007,98.0,87.6,3.03,17.2,22.0,37.5,7.5,99.0,96.3,95.56899999999996,1.11,15.4,46.0,3.0,96.7915955,5.678999999999995
Brunei Darussalam,2008,99.0,83.5,3.12,14.6,37.0,30.0,7.7,99.0,96.3,95.972,1.13,15.2,45.0,3.0,98.81056108333333,5.870999999999994
Brunei Darussalam,2009,101.0,90.9,3.05,13.5,44.0,27.3,7.9,99.0,96.3,95.566,1.39,15.0,45.0,3.0,99.83239858333332,5.869999999999996
Brunei Darussalam,2010,104.0,89.3,3.05,13.2,42.0,25.0,8.1,99.0,96.3,95.57,1.28,14.9,45.0,3.0,100.05916750000002,5.921999999999994
Brunei Darussalam,2011,108.0,100.0,3.01,3.6,35.0,25.0,8.3,99.0,96.3,95.577,1.09,14.8,45.0,3.0,100.19716058333331,5.207999999999996
Brunei Darussalam,2012,113.0,100.0,3.08,3.1,18.0,23.1,8.4,99.0,96.3,95.586,0.91,14.8,45.0,3.0,100.30914741666668,4.093999999999995
Brunei Darussalam,2013,116.0,-52.40699999999995,3.19,2.3,25.0,21.4,8.6,99.0,96.3,96.476,1.07,14.8,30.0,4.0,100.69955566666668,2.7190000000000016
Brunei Darussalam,2014,118.0,-50.88599999999997,3.19,3.9,30.0,20.0,8.7,99.0,96.3,96.411,1.26,14.9,15.0,5.0,100.49099808333332,2.8350000000000004
Brunei Darussalam,2015,117.0,-52.43899999999998,3.19,3.7,26.0,20.0,8.9,99.0,96.3,96.538,1.24,15.1,33.74,6.0,100.00025283333332,2.721000000000002
Brunei Darussalam,2016,78.0,-53.26799999999999,3.19,2.7,9.0,20.0,9.0,99.0,96.44,96.663,1.15,15.4,34.09,7.0,99.72155875,2.8229999999999995
Brunei Darussalam,2017,38.0,-50.596,3.19,2.4,6.0,20.0,9.1,99.0,96.81900000000002,96.663,1.16,15.7,33.94,7.0,98.46456308333332,2.822
Brunei Darussalam,2018,58.95,-51.38799999999999,3.19,2.739309523809523,11.0,20.28485714285715,9.1,99.0,96.822,96.663,1.25,16.2,32.2,6.0,99.47387575,2.833
Brunei Darussalam,2019,58.95,-53.258,3.19,2.6718333333333333,11.0,20.28485714285715,9.2,99.0,96.832,96.663,1.17,16.7,32.5,6.33,99.0854085,2.8409999999999997
Brunei Darussalam,2020,72.45,-55.90299999999999,3.19,3.0108333333333324,14.59919363969364,20.35885714285715,9.3,99.0,97.012,96.663,1.177628650793651,16.165721428571448,33.28,6.25,101.00798225,2.8319999999999994
Cambodia,2000,149.524,3.5979999999999985,2.78,5.711000000000002,77.0,8.115000000000002,3.2,52.6,9.8,17.0,-0.78,53.9,75.08,15.7,51.93886483333333,11.718
Cambodia,2001,145.0,3.9,2.89,5.0,53.0,7.7,3.1,54.2,12.3,17.5,-0.7478295970695967,52.8,76.0,7.0,51.60293158333334,11.724
Cambodia,2002,150.0,3.5,2.72,5.8,65.0,7.8,3.0,55.8,15.0,18.0,-0.73,51.8,74.0,6.0,51.71205458333333,11.765
Cambodia,2003,151.0,3.3,2.81,11.4,65.0,8.0,2.9,57.4,17.8,18.4,-0.65,50.9,73.0,5.0,52.19905075,14.551000000000004
Cambodia,2004,168.0,2.6,2.74,11.2,49.0,8.6,2.8,59.1,20.5,18.9,-0.41,50.0,72.0,6.0,54.45370375000001,14.551000000000004
Cambodia,2005,182.0,1.8,2.83,11.2,34.0,9.0,2.7,60.3,23.3,19.4,-0.4,49.2,72.0,8.0,58.05595725,14.551000000000004
Cambodia,2006,201.0,1.2,2.96,11.9,24.0,9.5,2.6,61.2,26.1,19.9,-0.35,48.3,72.0,10.0,61.4294065,14.674000000000005
Cambodia,2007,213.0,-0.8,2.93,15.2,19.0,9.6,2.5,62.1,29.0,20.3,-0.36,47.6,72.0,11.0,66.77918758333334,14.687000000000005
Cambodia,2008,222.0,-1.3,2.91,14.1,14.0,9.6,2.4,63.0,31.9,20.8,-0.3,47.0,71.0,12.0,82.87086950000001,14.894000000000007
Cambodia,2009,234.0,-2.3,2.96,15.1,17.0,9.5,2.3,63.9,34.8,21.4,-0.56,46.6,71.0,12.0,81.84184741666667,15.036000000000008
Cambodia,2010,253.0,-1.3,2.93,3.3,22.0,9.4,2.3,64.7,37.8,21.9,-0.5,46.3,71.0,10.0,85.11257116666667,12.127
Cambodia,2011,270.0,-1.1,2.97,2.7,25.0,9.3,2.2,65.5,40.9,22.5,-0.3,46.1,71.0,8.0,89.77541874999999,12.127
Cambodia,2012,281.0,-1.3,2.91,11.2,18.0,9.3,2.1,66.3,43.9,23.1,-0.1,46.1,71.0,6.0,92.40971324999998,15.152000000000008
Cambodia,2013,281.0,-2.5,2.9,11.4,15.0,9.3,2.1,67.1,47.0,23.7,-0.14,46.2,70.0,6.0,95.1280605,15.52200000000001
Cambodia,2014,279.0,-4.6,2.9,11.0,10.0,9.2,2.1,67.8,50.0,24.2,0.02,46.4,70.0,6.0,98.79590216666668,15.26100000000001
Cambodia,2015,281.0,-6.3,2.9,13.1,24.0,9.1,2.0,68.4,53.1,24.8,0.06,46.5,70.0,7.0,100.00509691666666,16.9
Cambodia,2016,187.0,-7.4,2.9,19.0,27.0,9.1,2.0,69.1,56.2,25.4,0.21,46.7,69.0,10.0,103.02439058333334,14.3
Cambodia,2017,94.0,-7.6,2.9,17.7,27.0,9.1,2.0,69.7,59.3,26.0,0.09,46.8,69.0,12.0,106.02511558333332,14.0
Cambodia,2018,122.22,-4.4691357808857815,2.9,15.41938757763976,27.0,9.801000000000013,2.0,70.3,62.5,26.6,0.11,47.0,67.48,12.0,108.6323635,13.6
Cambodia,2019,124.44,-4.372154312354312,2.9,14.978078053830233,26.0,10.45400000000001,2.0,70.8,65.6,27.2,-0.08,47.1,60.68,12.5,110.74262849999998,13.4
Cambodia,2020,124.44,-3.940731235431236,2.9,14.931478053830231,25.697928493281943,10.45800000000001,2.1,71.2,68.8,27.8,-0.0242672784160284,46.46133333333332,59.76,12.61,113.99878883333334,13.586000000000004
